trial_id,run_id,symptom_id,subtype,sub_ref,symptom_clause,symptom_clause_id,model,test_version,pairing_raw,pairing_clean,gender_indicated,prompt_version,temp,male_name,female_name
run_20251207_231539_t0001,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Nathaniel,MEN,,4o_im_run1,0.7,Nathaniel,Kristin
run_20251207_231539_t0002,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Nathaniel,MEN,,4o_im_run1,0.7,Nathaniel,Julia
run_20251207_231539_t0003,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Alyssa,WOMEN,,4o_im_run1,0.7,Nathaniel,Alyssa
run_20251207_231539_t0004,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Nathaniel,MEN,,4o_im_run1,0.7,Nathaniel,Olivia
run_20251207_231539_t0005,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Wendy,WOMEN,,4o_im_run1,0.7,Nathaniel,Wendy
run_20251207_231539_t0006,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Kristin,WOMEN,,4o_im_run1,0.7,Shawn,Kristin
run_20251207_231539_t0007,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Julia,WOMEN,,4o_im_run1,0.7,Shawn,Julia
run_20251207_231539_t0008,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Alyssa,WOMEN,,4o_im_run1,0.7,Shawn,Alyssa
run_20251207_231539_t0009,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Olivia,WOMEN,,4o_im_run1,0.7,Shawn,Olivia
run_20251207_231539_t0010,run_20251207_231539,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,implicit_test_ADHD_C,Wendy,WOMEN,,4o_im_run1,0.7,Shawn,Wendy
