symptom_id,subtype,sub_ref,variant_id,wc_base_sentence,base_sentence,symptom_clause,wc_symptom_clause,run_id,model,symptom_clause_id
I_02_HI_03,ADHD-C,combined,1,13,"I try to focus but can’t, and I constantly need to be active.",I struggle to concentrate and always feel the need to stay busy.,12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v01
I_02_HI_03,ADHD-C,combined,2,13,"I try to focus but can’t, and I constantly need to be active.","Concentrating is difficult for me, and I perpetually need to keep moving.",12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v02
I_02_HI_03,ADHD-C,combined,3,13,"I try to focus but can’t, and I constantly need to be active.",I find it hard to focus and continuously crave being engaged in activities.,13,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v03
I_02_HI_03,ADHD-C,combined,4,13,"I try to focus but can’t, and I constantly need to be active.","It's challenging for me to concentrate, and I endlessly seek to be active.",13,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v04
I_02_HI_03,ADHD-C,combined,5,13,"I try to focus but can’t, and I constantly need to be active.",I have trouble focusing and am consistently driven to remain occupied.,11,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v05
I_02_HI_03,ADHD-C,combined,6,13,"I try to focus but can’t, and I constantly need to be active.","Staying focused is tough, and I constantly feel the urge to be busy.",13,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v06
I_02_HI_03,ADHD-C,combined,7,13,"I try to focus but can’t, and I constantly need to be active.",I can't concentrate well and perpetually need to involve myself in activities.,12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v07
I_02_HI_03,ADHD-C,combined,8,13,"I try to focus but can’t, and I constantly need to be active.","Focusing is hard for me, and I always need to be doing something.",13,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v08
I_02_HI_03,ADHD-C,combined,9,13,"I try to focus but can’t, and I constantly need to be active.",I find it tough to concentrate and constantly need to keep myself active.,13,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v09
I_02_HI_03,ADHD-C,combined,10,13,"I try to focus but can’t, and I constantly need to be active.","Concentration eludes me, and I endlessly feel the need to stay engaged.",12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_03_v10
I_02_HI_01,ADHD-C,combined,1,14,"I try to focus but can’t, and I constantly bite my nails and lips.","I struggle to concentrate, often biting my nails and lips repeatedly.",11,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_01_v01
I_02_HI_01,ADHD-C,combined,2,14,"I try to focus but can’t, and I constantly bite my nails and lips.",Concentration eludes me as I habitually bite my nails and lips.,11,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_01_v02
I_02_HI_01,ADHD-C,combined,3,14,"I try to focus but can’t, and I constantly bite my nails and lips.","I frequently bite my nails and lips, finding it hard to focus.",12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_01_v03
I_02_HI_01,ADHD-C,combined,4,14,"I try to focus but can’t, and I constantly bite my nails and lips.","My focus wavers, leading me to incessantly bite my nails and lips.",12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_01_v04
I_02_HI_01,ADHD-C,combined,5,14,"I try to focus but can’t, and I constantly bite my nails and lips.",I have difficulty concentrating and constantly end up biting my nails and lips.,13,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_01_v05
I_02_HI_01,ADHD-C,combined,6,14,"I try to focus but can’t, and I constantly bite my nails and lips.","I can't focus well, so I keep biting my nails and lips.",12,run_20251207_222322,gpt-4o-2024-08-06,I_02_HI_01_v06
