run_id,symptom_id,subtype,sub_ref,variant_id,wc_base_sentence,base_sentence,symptom_clause,wc_symptom_clause,model,symptom_clause_id
run_20251127_210608,I_01,ADHD-I,mistakes_attention,1,11,I'm fairly successful in my work (minus all the careless mistakes).,"I achieve success in my job, except for the occasional careless errors.",12,gpt-4o-2024-08-06,I_01_01
run_20251127_210608,I_01,ADHD-I,mistakes_attention,2,11,I'm fairly successful in my work (minus all the careless mistakes).,"My career is quite successful, though I do make some careless mistakes.",12,gpt-4o-2024-08-06,I_01_02
run_20251127_210608,I_01,ADHD-I,mistakes_attention,3,11,I'm fairly successful in my work (minus all the careless mistakes).,"Despite some careless errors, I am generally successful in my profession.",11,gpt-4o-2024-08-06,I_01_03
run_20251127_210608,I_01,ADHD-I,mistakes_attention,4,11,I'm fairly successful in my work (minus all the careless mistakes).,"I am mostly successful at work, aside from a few careless mistakes.",12,gpt-4o-2024-08-06,I_01_04
run_20251127_210608,I_01,ADHD-I,mistakes_attention,5,11,I'm fairly successful in my work (minus all the careless mistakes).,"My work is successful overall, but I sometimes make careless errors.",11,gpt-4o-2024-08-06,I_01_05
run_20251127_210608,I_01,ADHD-I,mistakes_attention,6,11,I'm fairly successful in my work (minus all the careless mistakes).,"I find success in my career, even with some occasional careless mistakes.",12,gpt-4o-2024-08-06,I_01_06
run_20251127_210608,I_01,ADHD-I,mistakes_attention,7,11,I'm fairly successful in my work (minus all the careless mistakes).,"My professional life is successful, though I occasionally make careless errors.",11,gpt-4o-2024-08-06,I_01_07
run_20251127_210608,I_01,ADHD-I,mistakes_attention,8,11,I'm fairly successful in my work (minus all the careless mistakes).,"I am quite successful in my job, despite making some careless mistakes.",12,gpt-4o-2024-08-06,I_01_08
run_20251127_210608,I_01,ADHD-I,mistakes_attention,9,11,I'm fairly successful in my work (minus all the careless mistakes).,"My career is largely successful, although I do make careless mistakes.",11,gpt-4o-2024-08-06,I_01_09
run_20251127_210608,I_01,ADHD-I,mistakes_attention,10,11,I'm fairly successful in my work (minus all the careless mistakes).,"I generally succeed in my work, despite the occasional careless error.",11,gpt-4o-2024-08-06,I_01_10
run_20251127_210608,I_02,ADHD-I,sustaining_attention,1,13,"I tell myself I'm locking in and paying attention, yet it never works.","I convince myself I'm focused and attentive, but it consistently fails.",11,gpt-4o-2024-08-06,I_02_01
run_20251127_210608,I_02,ADHD-I,sustaining_attention,2,13,"I tell myself I'm locking in and paying attention, yet it never works.","I assure myself I'm concentrating and being mindful, yet it always fails.",12,gpt-4o-2024-08-06,I_02_02
run_20251127_210608,I_02,ADHD-I,sustaining_attention,3,13,"I tell myself I'm locking in and paying attention, yet it never works.","I insist I'm staying focused and alert, but it never seems effective.",12,gpt-4o-2024-08-06,I_02_03
run_20251127_210608,I_02,ADHD-I,sustaining_attention,4,13,"I tell myself I'm locking in and paying attention, yet it never works.","I remind myself to concentrate and pay attention, but it never helps.",12,gpt-4o-2024-08-06,I_02_04
run_20251127_210608,I_02,ADHD-I,sustaining_attention,5,13,"I tell myself I'm locking in and paying attention, yet it never works.","I promise myself I'm attentive and focused, yet it never succeeds.",11,gpt-4o-2024-08-06,I_02_05
run_20251127_210608,I_02,ADHD-I,sustaining_attention,6,13,"I tell myself I'm locking in and paying attention, yet it never works.","I keep telling myself I'm alert and focused, but it never works.",12,gpt-4o-2024-08-06,I_02_06
run_20251127_210608,I_02,ADHD-I,sustaining_attention,7,13,"I tell myself I'm locking in and paying attention, yet it never works.","I say I'm concentrating and paying attention, yet it never succeeds.",11,gpt-4o-2024-08-06,I_02_07
run_20251127_210608,I_02,ADHD-I,sustaining_attention,8,13,"I tell myself I'm locking in and paying attention, yet it never works.","I believe I'm being attentive and focused, but it never pays off.",12,gpt-4o-2024-08-06,I_02_08
run_20251127_210608,I_02,ADHD-I,sustaining_attention,9,13,"I tell myself I'm locking in and paying attention, yet it never works.","I claim I'm locking in and staying alert, yet it never helps.",12,gpt-4o-2024-08-06,I_02_09
run_20251127_210608,I_02,ADHD-I,sustaining_attention,10,13,"I tell myself I'm locking in and paying attention, yet it never works.","I maintain I'm focused and paying attention, but it never seems effective.",12,gpt-4o-2024-08-06,I_02_10
run_20251127_210608,I_03,ADHD-I,absent_listening,1,14,"I hear every word during a conversation, but can't remember what we've talked about.","I catch every word in a chat, yet I forget our discussion.",12,gpt-4o-2024-08-06,I_03_01
run_20251127_210608,I_03,ADHD-I,absent_listening,2,14,"I hear every word during a conversation, but can't remember what we've talked about.","I listen to all the words spoken, but I can't recall the conversation.",13,gpt-4o-2024-08-06,I_03_02
run_20251127_210608,I_03,ADHD-I,absent_listening,3,14,"I hear every word during a conversation, but can't remember what we've talked about.","I hear everything said in a discussion, yet I don't remember the details.",13,gpt-4o-2024-08-06,I_03_03
run_20251127_210608,I_03,ADHD-I,absent_listening,4,14,"I hear every word during a conversation, but can't remember what we've talked about.","I catch all the words during a talk, but forget what was discussed.",13,gpt-4o-2024-08-06,I_03_04
run_20251127_210608,I_03,ADHD-I,absent_listening,5,14,"I hear every word during a conversation, but can't remember what we've talked about.","I hear each word in a conversation, but can't recall what we discussed.",13,gpt-4o-2024-08-06,I_03_05
run_20251127_210608,I_03,ADHD-I,absent_listening,6,14,"I hear every word during a conversation, but can't remember what we've talked about.","I listen to every word spoken, yet I can't remember our conversation.",12,gpt-4o-2024-08-06,I_03_06
run_20251127_210608,I_03,ADHD-I,absent_listening,7,14,"I hear every word during a conversation, but can't remember what we've talked about.","I hear all the words during a chat, but forget what we talked about.",14,gpt-4o-2024-08-06,I_03_07
run_20251127_210608,I_03,ADHD-I,absent_listening,8,14,"I hear every word during a conversation, but can't remember what we've talked about.","I catch every word in a conversation, yet I can't recall the topic.",13,gpt-4o-2024-08-06,I_03_08
