 ;English translation;Frequency Men;Frequency Women;Percent Men;Percent Women;Expected Freq Men;Expected Freq Women; p-value (chi-square) ;Total Frequency;Total Percent;Total Selections Women;Total Selections Men;Grand Total;χ2;φ;OR;SE ln(OR);Lower Bound OR;Upper Bound OR
A1: Attention to detail;;;;;;;;;;;68961;41328;110289;;;;;;
DIVA_A1a1 Slordige fouten maken ;Makes careless mistakes;454;678;51.53;49.27;424;708; 0.067173 ;1132;50.16;;;;3.35;0.05;1.094595622;0.086325863;0.924212097;1.296390275
DIVA_A1a2 Langzaam moeten werken om fouten te voorkomen;Works slowly to avoid mistakes;294;518;33.37;37.65;304;508; 0.456258 ;812;35.98;;;;0.56;0.03;0.829596206;0.090559048;0.694674472;0.990722839
 DIVA_A1a3 Levert slordig werk af;Work is inaccurate;237;293;26.90;21.29;199;331; 0.000570 ;530;23.48;;;;11.87;0.15;1.360264346;0.100541209;1.116968461;1.656554465
DIVA_A1a4 Instructies niet nauwkeurig lezen;Does not read instructions carefully;327;585;37.12;42.51;342;570; 0.313000 ;912;40.41;;;;1.02;0.03;0.798102379;0.088525603;0.670971527;0.949321069
DIVA_A1a5 Kijkt over details heen of mist deze;Overlooks or misses details;355;572;40.30;41.57;347;580; 0.604641 ;927;41.07;;;;0.27;0.02;0.948642612;0.087807032;0.798656028;1.126796485
DIVA_A1a6 Slecht zijn in gedetailleerd werken;MISSING;211;304;23.95;22.09;193;322; 0.100974 ;515;22.82;;;;2.69;0.07;1.110526316;0.102245701;0.908857001;1.356944709
DIVA_A1a7 Te veel tijd nodig hebben voor details;Too much time needed to complete detailed tasks;357;594;40.52;43.17;356;595; 0.965966 ;951;42.14;;;;0.00;0.00;0.896927288;0.087588763;0.755440348;1.064913414
DIVA_A1a8 Verzanden in details;Gets easily bogged down by details;358;565;40.64;41.06;346;577; 0.409495 ;923;40.89;;;;0.68;0.03;0.982547928;0.08779692;0.827217088;1.167046044
DIVA_A1a9 Te snel werken en daardoor fouten maken;Works too quickly and therefore makes mistakes;292;492;33.14;35.76;294;490; 0.895275 ;784;34.74;;;;0.02;0.00;0.890747719;0.091028525;0.745194556;1.064730669
;;;;;;;;;;;;;;;;;;;
