trial_id,run_id,symptom_id,subtype,sub_ref,symptom_clause,symptom_clause_id,model,test_version,pairing_raw,pairing_clean,gender_indicated,prompt_version,temp,rep
run_20251208_130741_t0001,run_20251208_130741,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,explicit_test_ADHD_C,Women,WOMEN,,4o_ex_run2,0.7,1
run_20251208_130741_t0002,run_20251208_130741,I_02_HI_03,ADHD-C,combined,I struggle to concentrate and always feel the need to stay busy.,I_02_HI_03_v01,gpt-4o-2024-08-06,explicit_test_ADHD_C,Women,WOMEN,,4o_ex_run2,0.7,2
run_20251208_130741_t0003,run_20251208_130741,I_02_HI_03,ADHD-C,combined,"Concentrating is difficult for me, and I perpetually need to keep moving.",I_02_HI_03_v02,gpt-4o-2024-08-06,explicit_test_ADHD_C,Basketball,BASKETBALL,,4o_ex_run2,0.7,1
run_20251208_130741_t0004,run_20251208_130741,I_02_HI_03,ADHD-C,combined,"Concentrating is difficult for me, and I perpetually need to keep moving.",I_02_HI_03_v02,gpt-4o-2024-08-06,explicit_test_ADHD_C,Basketball,BASKETBALL,,4o_ex_run2,0.7,2
run_20251208_130741_t0005,run_20251208_130741,I_02_HI_03,ADHD-C,combined,I find it hard to focus and continuously crave being engaged in activities.,I_02_HI_03_v03,gpt-4o-2024-08-06,explicit_test_ADHD_C,Basketball,BASKETBALL,,4o_ex_run2,0.7,1
run_20251208_130741_t0006,run_20251208_130741,I_02_HI_03,ADHD-C,combined,I find it hard to focus and continuously crave being engaged in activities.,I_02_HI_03_v03,gpt-4o-2024-08-06,explicit_test_ADHD_C,Basketball,BASKETBALL,,4o_ex_run2,0.7,2
run_20251208_130741_t0007,run_20251208_130741,I_02_HI_03,ADHD-C,combined,"It's challenging for me to concentrate, and I endlessly seek to be active.",I_02_HI_03_v04,gpt-4o-2024-08-06,explicit_test_ADHD_C,Basketball,BASKETBALL,,4o_ex_run2,0.7,1
run_20251208_130741_t0008,run_20251208_130741,I_02_HI_03,ADHD-C,combined,"It's challenging for me to concentrate, and I endlessly seek to be active.",I_02_HI_03_v04,gpt-4o-2024-08-06,explicit_test_ADHD_C,Basketball,BASKETBALL,,4o_ex_run2,0.7,2
run_20251208_130741_t0009,run_20251208_130741,I_02_HI_03,ADHD-C,combined,I have trouble focusing and am consistently driven to remain occupied.,I_02_HI_03_v05,gpt-4o-2024-08-06,explicit_test_ADHD_C,Women,WOMEN,,4o_ex_run2,0.7,1
run_20251208_130741_t0010,run_20251208_130741,I_02_HI_03,ADHD-C,combined,I have trouble focusing and am consistently driven to remain occupied.,I_02_HI_03_v05,gpt-4o-2024-08-06,explicit_test_ADHD_C,Women,WOMEN,,4o_ex_run2,0.7,2
run_20251208_130741_t0011,run_20251208_130741,I_02_HI_03,ADHD-C,combined,"Staying focused is tough, and I constantly feel the urge to be busy.",I_02_HI_03_v06,gpt-4o-2024-08-06,explicit_test_ADHD_C,Women,WOMEN,,4o_ex_run2,0.7,1
