merged_C,symptom_id_I,clause_I,symptom_id_HI,clause_HI,adhd_c_clause,adhd_c_clause_clean,word_count
I_02_HI_03,I_02,"I tell myself I'm locking in and paying attention, yet it never works.",HI_03,I constantly have a feeling that I have to be doing something.,I tell myself Im locking in and paying attention yet it never works and also constantly have a feeling that I have to be doing something.,"I try to focus but can’t, and I constantly need to be active.",12
I_02_HI_01,I_02,"I tell myself I'm locking in and paying attention, yet it never works.",HI_01,I seem to constantly eat my nails and bite my lips,I tell myself Im locking in and paying attention yet it never works and also seem to constantly eat my nails and bite my lips.,"I try to focus but can’t, and I constantly bite my nails and lips.",13
I_02_HI_05,I_02,"I tell myself I'm locking in and paying attention, yet it never works.",HI_05,I always feel like I'm rushing in a retina fast-paced medical clinic.,I tell myself Im locking in and paying attention yet it never works and also always feel like I'm rushing in a retina fast-paced medical clinic.,"I try to focus but can’t, and I always feel extremely rushed.",11
I_02_HI_07,I_02,"I tell myself I'm locking in and paying attention, yet it never works.",HI_07,I often overcomit and say things too soon like to asking to go out.,I tell myself Im locking in and paying attention yet it never works and also often overcomit and say things too soon like to asking to go out.,"I try to focus but can’t, and I impulsively overcommit or speak too soon.",13
I_02_HI_08,I_02,"I tell myself I'm locking in and paying attention, yet it never works.",HI_08,I am horrible in traffic jams. It is draining me completely.,I tell myself Im locking in and paying attention yet it never works and also am horrible in traffic jams. It is draining me completely.,"I try to focus but can’t, and I struggle to stay calm in traffic.",13
I_08_HI_03,I_08,"I notice nearby conversations, butlose track of the one I'm supposed to be having.",HI_03,I constantly have a feeling that I have to be doing something.,I notice nearby conversations butlose track of the one Im supposed to be having and also constantly have a feeling that I have to be doing something.,"I get distracted by nearby conversations, and I constantly need to be active.",12
I_08_HI_01,I_08,"I notice nearby conversations, butlose track of the one I'm supposed to be having.",HI_01,I seem to constantly eat my nails and bite my lips,I notice nearby conversations butlose track of the one Im supposed to be having and also seem to constantly eat my nails and bite my lips.,"I get distracted by nearby conversations, and I constantly bite my nails and lips.",13
I_08_HI_05,I_08,"I notice nearby conversations, butlose track of the one I'm supposed to be having.",HI_05,I always feel like I'm rushing in a retina fast-paced medical clinic.,I notice nearby conversations butlose track of the one Im supposed to be having and also always feel like I'm rushing in a retina fast-paced medical clinic.,"I get distracted by nearby conversations, and I always feel extremely rushed.",11
I_08_HI_07,I_08,"I notice nearby conversations, butlose track of the one I'm supposed to be having.",HI_07,I often overcomit and say things too soon like to asking to go out.,I notice nearby conversations butlose track of the one Im supposed to be having and also often overcomit and say things too soon like to asking to go out.,"I get distracted by nearby conversations, and I impulsively overcommit or speak too soon.",13
I_08_HI_08,I_08,"I notice nearby conversations, butlose track of the one I'm supposed to be having.",HI_08,I am horrible in traffic jams. It is draining me completely.,I notice nearby conversations butlose track of the one Im supposed to be having and also am horrible in traffic jams. It is draining me completely.,"I get distracted by nearby conversations, and I struggle to stay calm in traffic.",13
I_06_HI_03,I_06,I wanna clean my house but the motivation is completely knocked out.,HI_03,I constantly have a feeling that I have to be doing something.,I wanna clean my house but the motivation is completely knocked out and also constantly have a feeling that I have to be doing something.,"I want to clean my house but can’t, and I constantly need to be active.",14
I_06_HI_01,I_06,I wanna clean my house but the motivation is completely knocked out.,HI_01,I seem to constantly eat my nails and bite my lips,I wanna clean my house but the motivation is completely knocked out and also seem to constantly eat my nails and bite my lips.,"I want to clean my house but can’t, and I constantly bite my nails and lips.",15
I_06_HI_05,I_06,I wanna clean my house but the motivation is completely knocked out.,HI_05,I always feel like I'm rushing in a retina fast-paced medical clinic.,I wanna clean my house but the motivation is completely knocked out and also always feel like I'm rushing in a retina fast-paced medical clinic.,"I want to clean my house but can’t, and I always feel extremely rushed.",13
I_06_HI_07,I_06,I wanna clean my house but the motivation is completely knocked out.,HI_07,I often overcomit and say things too soon like to asking to go out.,I wanna clean my house but the motivation is completely knocked out and also often overcomit and say things too soon like to asking to go out.,"I want to clean my house but can’t, and I impulsively overcommit or speak too soon.",15
I_06_HI_08,I_06,I wanna clean my house but the motivation is completely knocked out.,HI_08,I am horrible in traffic jams. It is draining me completely.,I wanna clean my house but the motivation is completely knocked out and also am horrible in traffic jams. It is draining me completely.,"I want to clean my house but can’t, and I struggle to stay calm in traffic.",15
I_04_HI_03,I_04,I need to do homework or clean my room but can't make myself do it.,HI_03,I constantly have a feeling that I have to be doing something.,I need to do homework or clean my room but cant make myself do it and also constantly have a feeling that I have to be doing something.,"I struggle to start homework or clean, and I constantly need to be active.",13
I_04_HI_01,I_04,I need to do homework or clean my room but can't make myself do it.,HI_01,I seem to constantly eat my nails and bite my lips,I need to do homework or clean my room but cant make myself do it and also seem to constantly eat my nails and bite my lips.,"I struggle to start homework or clean, and I constantly bite my nails and lips.",14
I_04_HI_05,I_04,I need to do homework or clean my room but can't make myself do it.,HI_05,I always feel like I'm rushing in a retina fast-paced medical clinic.,I need to do homework or clean my room but cant make myself do it and also always feel like I'm rushing in a retina fast-paced medical clinic.,"I struggle to start homework or clean, and I always feel extremely rushed.",12
